subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_005,beh,0,NA,2.00000855251,safe,3.42103885487e-06,16.0000164208,16.000012999749742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0002877058,NA,NA
CPU_005,beh,0,P,18.0059155869,threat,2.73680780083e-06,40.0000465256,NA,40.00004378875019,2.0,"['static.wav', 'buzzsaw.wav']","[5.000058499048464, 24.00003831513459]","[8.00179191789357, 27.012263929878827]","[8.318267265334725, 27.2454677784699]","[[0.3094017532421276], [0.236726448580157]]","[0.318269660056103, 0.24546948896022514]","[1, 1]",2,68.5607762241,7,8
CPU_005,beh,0,NA,68.5666534958,safe,2.39466316998e-06,14.000013684,14.000011289317627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.9539862305,NA,NA
CPU_005,beh,0,U,87.9598050032,threat,2.39472137764e-06,30.0000868933,NA,30.000084498606157,1.0,['buzzer.wav'],NA,[19.000101261481177],[19.238200213818345],[[0.23282172332983464]],[0.238202266395092],[1],2,123.393005089,9,5
