subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_005,beh,1,U,2.00000752619,threat,3.76306707039e-06,91.0000933932,NA,91.00008963013534,2.0,"['static.wav', 'buzzsaw.wav']",NA,"[5.000081761798356, 82.00008620909648]","[5.712853196484502, 82.42133846483193]","[[0.2279266196419485, 0.699870515265502], [0.19335026724729687, 0.40923497965559363]]","[0.7128552490612492, 0.421340175322257]","[2, 2]",2,98.7672005132,8,4
CPU_005,beh,1,NA,98.7732307034,safe,3.07889422402e-06,13.000048236,13.00004515715409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.773402437,NA,NA
CPU_005,beh,1,U,111.77933855,threat,2.39466316998e-06,100.000093051,NA,100.0000906563946,3.0,"['buzzer.wav', 'airhorn.wav', 'godzilla.wav']",NA,"[11.000058156903833, 25.000087235413957, 48.000040709855966]","[11.796232798777055, 25.708410690596793, 48.567680478910916]","[[0.2290134701761417, 0.6608865511952899, 0.7809077613637783], [0.17249826807528734, 0.332404532819055, 0.7004373743548058], [0.2197080179466866, 0.4516382295987569, 0.5556204404565506]]","[0.7962351934984326, 0.7084127431735396, 0.5676821894012392]","[3, 3, 3]",2,218.195121659,6,5
CPU_005,beh,1,NA,218.202963951,safe,2.73674959317e-06,17.0000485781,17.000045841385145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.203147659,NA,NA
CPU_005,beh,1,U,235.20944195,threat,2.73680780083e-06,79.0001043404,NA,79.00010160362581,1.0,['demon.wav'],NA,[63.00007355143316],[63.859266367333476],"[[0.2809674578020349, 0.49690416938392445, 0.736878853989765, 0.8488822749932297]]",[0.8592687620548531],[4],2,318.229403464,9,2
CPU_005,beh,1,NA,318.236271798,safe,2.73674959317e-06,15.000017105,15.00001436821185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333.23641719,NA,NA
