subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_020,beh,0,NA,2.00000786828,safe,3.07889422402e-06,16.000086893,16.000083814142272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0003540721,NA,NA,CPU_007
CPU_020,beh,0,P,18.0062077209,threat,2.39472137764e-06,40.000201154,NA,40.000198759255,2.0,"['static.wav', 'buzzsaw.wav']","[5.0118089010356925, 24.005649416008964]","[8.02846739150118, 27.022251802380197]","[8.21170702407835, 27.18881241849158, [...]]","[[], []]","[8.21170702407835, 27.18881241849158, [...]]",NA,2,73.3193035283,8,7,CPU_007
CPU_020,beh,0,NA,73.3255403276,safe,2.39472137764e-06,14.000079709,14.0000773142674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1617838936,NA,NA,CPU_007
CPU_020,beh,0,U,96.1675667281,threat,2.39472137764e-06,30.0001563391,NA,30.000153944361955,1.0,['buzzer.wav'],NA,[19.000135128968395],[19.204496270103846],[[]],[19.204496270103846],NA,2,136.265379555,9,2,CPU_007
