subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_020,beh,1,U,2.00000786828,threat,4.10521170124e-06,91.0001563391,NA,91.00015223387163,2.0,"['static.wav', 'buzzsaw.wav']",NA,"[5.000177891284693, 82.00014368142001]","[5.354495551728178, 82.39595208433457]","[[0.2759931633481756], [0.24927526403917]]","[[5.354495551728178, 82.39595208433457], [5.354495551728178, 82.39595208433457]]",NA,2,103.006995574,6,4,CPU_007
CPU_020,beh,1,NA,103.013880308,safe,2.73674959317e-06,13.0000352361,13.000032499374356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.014047252,NA,NA,CPU_007
CPU_020,beh,1,U,116.020267288,threat,2.39466316998e-06,100.000161813,NA,100.00015941797756,3.0,"['buzzer.wav', 'airhorn.wav', 'godzilla.wav']",NA,"[11.00016352313105, 25.00009510340169, 48.000128629035316]","[11.628562358091585, 25.50735169852851, 48.56643896584865]","[[0.2916763306129724], [0.3151935557834804], [0.2823750124662183]]","[[11.628562358091585, 25.50735169852851, 48.56643896584865], [11.628562358091585, 25.50735169852851, 48.56643896584865], [11.628562358091585, 25.50735169852851, 48.56643896584865]]",NA,2,223.717499779,4,4,CPU_007
CPU_020,beh,1,NA,223.724437881,safe,2.73674959317e-06,17.0000595251,17.000056788383517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.724609272,NA,NA,CPU_007
CPU_020,beh,1,U,240.730928517,threat,2.39472137764e-06,79.000118024,NA,79.00011562928557,1.0,['demon.wav'],NA,[63.000118708238006],[63.8266353852232],[[0.3265960437711328]],[[63.8266353852232]],NA,2,322.601827696,4,4,CPU_007
CPU_020,beh,1,NA,322.608681299,safe,3.07889422402e-06,15.0000304468,15.000027367903385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.608820875,NA,NA,CPU_007
