subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_020,beh,2,NA,2.00000855245,safe,3.07889422402e-06,19.0000742354,19.00007115653716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0003605719,NA,NA,CPU_007
CPU_020,beh,2,P,21.0067933936,threat,3.42098064721e-06,77.0001409446,NA,77.00013752363157,2.0,"['godzilla.wav', 'buzzer.wav']","[12.006804682896473, 46.01252080814447]","[15.023665353655815, 49.02922719245544]","[15.890037884004414, 49.72893784544431]","[[0.2128366127726622, 0.7969302601995878], []]","[15.890037884004414, 49.72893784544431]",NA,2,102.708899421,1,9,CPU_007
CPU_020,beh,2,NA,102.730847098,safe,3.07889422402e-06,12.0000489201,12.000045841210522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.731020542,NA,NA,CPU_007
CPU_020,beh,2,P,114.737258709,threat,2.73680780083e-06,112.000137182,NA,112.00013444473734,0.0,[],NA,[],[],[],[],[],2,230.383824689,1,9,CPU_007
CPU_020,beh,2,NA,230.42270043,safe,3.07889422402e-06,14.0000697881,14.000066709239036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.422897479,NA,NA,CPU_007
CPU_020,beh,2,P,244.429205435,threat,2.73680780083e-06,81.0001149451,NA,81.00011220830493,2.0,"['demon.wav', 'buzzsaw.wav']","[48.015404015022796, 60.01151161734015]","[51.03319279925199, 63.02927166526206]","[51.699626496760175, 63.87897817889461]","[[0.2525077064638026], [0.23195340915117413, 0.4159353955765255, 0.74392857006751]]","[[51.699626496760175, 63.87897817889461], [51.699626496760175, 63.87897817889461]]",NA,2,328.11852758,1,9,CPU_007
