-11,-10,-7,-17,-12,19,14,-3,-2,8,-3,-39,-26
-142,-92,-92,-38,-39,4,10,0,1,91,94,171,184
-12,-11,-7,-14,-17,29,2,-4,-1,1,6,-58,-15
-142,-92,-93,-38,-40,-2,12,0,0,91,93,160,184
-13,-10,-8,-8,-24,40,-13,-5,-1.16E-15,-8,16,-76,-3
-139,-88,-89,-36,-38,-7,17,4,3,95,95,156,187
-14,-9,-8,-3,-31,49,-26,-6,1,-18,25,-91,10
-135,-85,-85,-34,-36,-12,20,7,7,98,97,152,189
-15,-9,-10,1,-37,54,-39,-7,1,-28,32,-103,21
-132,-82,-81,-32,-34,-16,21,11,10,100,98,153,190
-14,-7,-10,6,-41,60,-47,-8,2,-37,39,-111,35
-130,-80,-79,-32,-34,-20,21,13,12,100,97,156,190
-13,-6,-9,10,-42,65,-52,-8,3,-44,43,-115,50
-130,-80,-79,-32,-35,-23,20,14,13,99,96,158,189
-11,-4,-9,14,-42,68,-52,-8,3,-48,42,-114,63
-129,-80,-79,-33,-35,-24,20,13,13,97,98,163,189
-10,-3,-8,15,-41,70,-49,-8,3,-49,40,-107,72
-130,-80,-80,-33,-36,-22,20,12,13,96,99,169,186
-7,-2,-6,16,-37,70,-43,-7,3,-46,43,-96,78
-131,-80,-81,-33,-37,-19,19,11,12,96,96,174,183
-6,-2,-5,13,-35,65,-36,-6,2,-42,40,-84,73
-134,-83,-84,-33,-38,-15,18,8,9,94,94,177,182
-6,-2,-6,8,-32,57,-28,-6,1,-38,32,-73,57
-138,-86,-89,-35,-41,-10,15,5,5,92,93,179,183
-7,-3,-7,3,-28,48,-16,-5,-1.22E-15,-30,26,-61,34
-139,-88,-90,-36,-40,-4,15,3,4,93,93,181,186
-9,-4,-8,-2,-25,38,-4,-4,-1,-21,21,-50,9
-140,-90,-91,-37,-39,2,13,2,2,94,92,183,185
-10,-5,-9,-7,-21,27,8,-3,-2,-12,15,-38,-16
-141,-91,-91,-38,-38,6,10,1,1,94,92,184,180
-11,-6,-10,-12,-17,15,19,-2,-3,-3,8,-26,-39
-142,-92,-92,-39,-38,10,4,1,0,94,91,184,171
-12,-7,-11,-17,-14,2,29,-1,-4,6,1,-15,-59
-142,-93,-92,-40,-38,12,-2,0,0,93,91,184,160
-13,-8,-10,-24,-8,-13,40,1.16E-15,-5,16,-8,-3,-76
-139,-89,-88,-38,-36,17,-7,3,4,95,95,187,156
-14,-8,-9,-31,-3,-26,49,1,-6,26,-18,10,-91
-135,-85,-85,-36,-34,20,-12,7,7,97,98,189,152
-15,-10,-9,-37,1,-39,54,1,-8,32,-28,21,-103
-132,-81,-82,-34,-32,22,-16,10,11,98,100,190,153
-14,-10,-7,-41,6,-47,60,2,-8,39,-37,35,-111
-130,-79,-80,-34,-32,21,-20,12,13,97,100,190,156
-13,-9,-6,-42,10,-52,65,3,-8,44,-44,50,-115
-130,-79,-80,-35,-32,20,-23,13,14,96,99,189,158
-11,-9,-4,-42,14,-52,68,3,-8,42,-48,63,-114
-129,-79,-80,-35,-33,20,-24,13,13,98,97,189,163
-9,-8,-3,-41,15,-49,69,3,-8,41,-49,72,-107
-130,-80,-80,-36,-33,20,-22,13,12,99,96,186,169
-7,-6,-2,-37,16,-43,70,3,-7,43,-46,78,-96
-131,-81,-80,-37,-33,19,-19,12,11,96,96,183,174
-6,-5,-2,-35,13,-36,65,2,-6,40,-42,73,-84
-134,-84,-83,-38,-33,18,-15,9,8,94,94,182,177
-6,-6,-2,-32,8,-28,57,1,-6,32,-38,57,-72
-138,-89,-86,-41,-35,15,-10,5,5,93,92,183,179
-7,-7,-3,-28,3,-16,48,1.22E-15,-5,26,-30,33,-61
-139,-90,-88,-40,-36,15,-4,4,3,93,93,186,181
-9,-8,-4,-25,-2,-4,38,-1,-4,21,-21,9,-49
-140,-91,-90,-39,-37,13,2,2,2,92,94,185,183
-10,-9,-6,-21,-7,8,27,-2,-3,15,-12,-16,-38
-141,-91,-91,-38,-38,10,6,1,1,92,94,180,184
-11,-10,-7,-17,-12,19,14,-3,-2,8,-3,-39,-26
-142,-92,-92,-38,-39,4,10,0,1,91,94,171,184
-12,-11,-7,-14,-17,29,2,-4,-1,1,6,-58,-15
-142,-92,-93,-38,-40,-2,12,0,0,91,93,160,184
-13,-10,-8,-8,-24,40,-13,-5,-1.16E-15,-8,16,-76,-3
-139,-88,-89,-36,-38,-7,17,4,3,95,95,156,187
-14,-9,-8,-3,-31,49,-26,-6,1,-18,25,-91,10
-135,-85,-85,-34,-36,-12,20,7,7,98,97,152,189
-15,-9,-10,1,-37,54,-39,-7,1,-28,32,-103,21
-132,-82,-81,-32,-34,-16,21,11,10,100,98,153,190
-14,-7,-10,6,-41,60,-47,-8,2,-37,39,-111,35
-130,-80,-79,-32,-34,-20,21,13,12,100,97,156,190
-13,-6,-9,10,-42,65,-52,-8,3,-44,43,-115,50
-130,-80,-79,-32,-35,-23,20,14,13,99,96,158,189
-11,-4,-9,14,-42,68,-52,-8,3,-48,42,-114,63
-129,-80,-79,-33,-35,-24,20,13,13,97,98,163,189
-10,-3,-8,15,-41,70,-49,-8,3,-49,40,-107,72
-130,-80,-80,-33,-36,-22,20,12,13,96,99,169,186
-7,-2,-6,16,-37,70,-43,-7,3,-46,43,-96,78
-131,-80,-81,-33,-37,-19,19,11,12,96,96,174,183
-6,-2,-5,13,-35,65,-36,-6,2,-42,40,-84,73
-134,-83,-84,-33,-38,-15,18,8,9,94,94,177,182
-6,-2,-6,8,-32,57,-28,-6,1,-38,32,-73,57
-138,-86,-89,-35,-41,-10,15,5,5,92,93,179,183
-7,-3,-7,3,-28,48,-16,-5,-1.22E-15,-30,26,-61,34
-139,-88,-90,-36,-40,-4,15,3,4,93,93,181,186
-9,-4,-8,-2,-25,38,-4,-4,-1,-21,21,-50,9
-140,-90,-91,-37,-39,2,13,2,2,94,92,183,185
-10,-5,-9,-7,-21,27,8,-3,-2,-12,15,-38,-16
-141,-91,-91,-38,-38,6,10,1,1,94,92,184,180
-11,-6,-10,-12,-17,15,19,-2,-3,-3,8,-26,-39
-142,-92,-92,-39,-38,10,4,1,0,94,91,184,171
-12,-7,-11,-17,-14,2,29,-1,-4,6,1,-15,-59
-142,-93,-92,-40,-38,12,-2,0,0,93,91,184,160
-13,-8,-10,-24,-8,-13,40,1.16E-15,-5,16,-8,-3,-76
-139,-89,-88,-38,-36,17,-7,3,4,95,95,187,156
-14,-8,-9,-31,-3,-26,49,1,-6,26,-18,10,-91
-135,-85,-85,-36,-34,20,-12,7,7,97,98,189,152
-15,-10,-9,-37,1,-39,54,1,-8,32,-28,21,-103
-132,-81,-82,-34,-32,22,-16,10,11,98,100,190,153
-14,-10,-7,-41,6,-47,60,2,-8,39,-37,35,-111
-130,-79,-80,-34,-32,21,-20,12,13,97,100,190,156
-13,-9,-6,-42,10,-52,65,3,-8,44,-44,50,-115
-130,-79,-80,-35,-32,20,-23,13,14,96,99,189,158
-11,-9,-4,-42,14,-52,68,3,-8,42,-48,63,-114
-129,-79,-80,-35,-33,20,-24,13,13,98,97,189,163
-9,-8,-3,-41,15,-49,69,3,-8,41,-49,72,-107
-130,-80,-80,-36,-33,20,-22,13,12,99,96,186,169
-7,-6,-2,-37,16,-43,70,3,-7,43,-46,78,-96
-131,-81,-80,-37,-33,19,-19,12,11,96,96,183,174
-6,-5,-2,-35,13,-36,65,2,-6,40,-42,73,-84
-134,-84,-83,-38,-33,18,-15,9,8,94,94,182,177
-6,-6,-2,-32,8,-28,57,1,-6,32,-38,57,-72
-138,-89,-86,-41,-35,15,-10,5,5,93,92,183,179
-7,-7,-3,-28,3,-16,48,1.22E-15,-5,26,-30,33,-61
-139,-90,-88,-40,-36,15,-4,4,3,93,93,186,181
-9,-8,-4,-25,-2,-4,38,-1,-4,21,-21,9,-49
-140,-91,-90,-39,-37,13,2,2,2,92,94,185,183
-10,-9,-6,-21,-7,8,27,-2,-3,15,-12,-16,-38
-141,-91,-91,-38,-38,10,6,1,1,92,94,180,184
-11,-10,-7,-17,-12,19,14,-3,-2,8,-3,-39,-26
-142,-92,-92,-38,-39,4,10,0,1,91,94,171,184
