subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_004,beh,1,P,2.00000752619,threat,3.76312527806e-06,91.0000810776,NA,91.00007731450023,2.0,"['static.wav', 'buzzsaw.wav']","[2.0000437887501903, 79.00007526192348]","[5.00619200343499, 82.01455976057332]","[5.405985375284217, 82.89752200129442]","[[0.22814351081615314, 0.38807988027110696], [0.3215589480823837, 0.8814792388584465]]","[0.4059874278609641, 0.8975240539293736]","[2, 2]",3,101.909180073,4,6
CPU_004,beh,1,NA,101.916322429,safe,3.07889422402e-06,13.0000242891,13.000021210173145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.916469532,NA,NA
CPU_004,beh,1,P,114.922770665,threat,2.39472137764e-06,100.000101946,NA,100.00009955099085,3.0,"['buzzer.wav', 'airhorn.wav', 'godzilla.wav']","[8.00007218302926, 22.000040367769543, 45.00005199917359]","[11.011811674165074, 25.00727338041179, 48.01649467612151]","[11.66150711994851, 25.89024896302726, 48.53288107761182]","[[0.3016709857038222, 0.5336200128658675, 0.6535341458511539], [0.35720094077987596, 0.781135257682763, 0.8851444943575189], [0.22041719051776454, 0.3322871926939115, 0.5163138764328323]]","[0.6615091725834645, 0.8902510156622157, 0.5328831302467734]","[3, 3, 3]",3,220.853941244,4,7
CPU_004,beh,1,NA,220.86088963,safe,2.73680780083e-06,17.0000212102,17.000018473365344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.861027154,NA,NA
CPU_004,beh,1,P,237.867452127,threat,2.39472137764e-06,79.0000773145,NA,79.00007491977885,1.0,['demon.wav'],[60.00007286720211],[63.01041077612899],[63.79339508234989],"[[0.247065725910943, 0.3750092794653028, 0.59100859524915, 0.7750092794303782]]",[0.7933971349266358],[4],3,324.653661749,4,7
CPU_004,beh,1,NA,324.660525294,safe,3.07889422402e-06,15.0000396835,15.000036604644265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.660693265,NA,NA
