jitter1,jitter2,TotalTrialTime,,,jitter 1,,,jitter2,
3400,2000,15400,,3.400029182,3400,0,2.000016928,2000,0
6000,2500,18500,,6.000086069,6000,0,2.500012159,2500,0
3000,4200,17200,,3.000032902,3000,0,4.200009108,4200,0
4200,3000,17200,,4.200046778,4200,0,3.00000906,3000,0
3400,2000,15400,,3.400033951,3400,0,2.000014067,2000,0
6000,2500,18500,,6.000071049,6000,0,2.316046953,2316,-184
4200,3400,17600,,4.200113058,4200,0,3.400014877,3400,0
3000,2500,15500,,3.000036955,3000,0,2.317137957,2317,-183
6000,2000,18000,,6.000075102,6000,0,2.000008106,2000,0
6000,3000,19000,,6.000018835,6000,0,3.000007153,3000,0
4200,2000,16200,,4.200090885,4200,0,2.00000906,2000,0
3400,2500,15900,,3.400065899,3400,0,2.500018835,2500,0
3400,2000,15400,,3.400025129,3400,0,2.000018835,2000,0
6000,2500,18500,,6.00001502,6000,0,2.50000906,2500,0
3000,4200,17200,,3.000084162,3000,0,4.200018883,4200,0
4200,3000,17200,,4.200041056,4200,0,3.000015974,3000,0
3400,2000,15400,,3.400040865,3400,0,2.00000906,2000,0
6000,2500,18500,,6.000113964,6000,0,2.499993801,2500,0
4200,3400,17600,,4.200019121,4200,0,3.400014162,3400,0
3000,2500,15500,,3.000077963,3000,0,2.500008822,2500,0
6000,2000,18000,,6.00011301,6000,0,2.000016928,2000,0
6000,3000,19000,,6.000020027,6000,0,3.000015974,3000,0
4200,2000,16200,,4.200039148,4200,0,2.000014067,2000,0
3400,2500,15900,A,3.400032043,3400,0,2.50000906,2500,0
3400,2000,15400,B,3.400044918,3400,0,2.000016928,2000,0
6000,2500,18500,,6.000059843,6000,0,2.500013113,2500,0
3000,4200,17200,,3.000077009,3000,0,4.200017929,4200,0
4200,3000,17200,,4.200054884,4200,0,3.000013828,3000,0
3400,2000,15400,,3.400020122,3400,0,2.000011921,2000,0
6000,2500,18500,,6.000084877,6000,0,2.500010014,2500,0
