-37.8,0,37.8,37.8,37.8,-37.8,0,37.8,37.8,37.8,-37.8,0,37.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-36.8,1,38.8,38.8,38.8,-36.8,1,38.8,38.8,38.8,-36.8,1,38.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-35.8,2,39.8,39.8,39.8,-35.8,2,39.8,39.8,39.8,-35.8,2,39.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-34.8,3,40.8,40.8,40.8,-34.8,3,40.8,40.8,40.8,-34.8,3,40.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-33.8,4,41.8,41.8,41.8,-33.8,4,41.8,41.8,41.8,-33.8,4,41.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-32.8,5,42.8,42.8,42.8,-32.8,5,42.8,42.8,42.8,-32.8,5,42.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-31.8,6,43.8,43.8,43.8,-31.8,6,43.8,43.8,43.8,-31.8,6,43.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-30.8,7,44.8,44.8,44.8,-30.8,7,44.8,44.8,44.8,-30.8,7,44.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-29.8,8,45.8,45.8,45.8,-29.8,8,45.8,45.8,45.8,-29.8,8,45.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-28.8,9,46.8,46.8,46.8,-28.8,9,46.8,46.8,46.8,-28.8,9,46.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-27.8,10,47.8,47.8,47.8,-27.8,10,47.8,47.8,47.8,-27.8,10,47.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-26.8,11,48.8,48.8,48.8,-26.8,11,48.8,48.8,48.8,-26.8,11,48.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-25.8,12,49.8,49.8,49.8,-25.8,12,49.8,49.8,49.8,-25.8,12,49.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-24.8,13,50.8,50.8,50.8,-24.8,13,50.8,50.8,50.8,-24.8,13,50.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-23.8,14,51.8,51.8,51.8,-23.8,14,51.8,51.8,51.8,-23.8,14,51.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-22.8,15,52.8,52.8,52.8,-22.8,15,52.8,52.8,52.8,-22.8,15,52.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-21.8,16,53.8,53.8,53.8,-21.8,16,53.8,53.8,53.8,-21.8,16,53.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-20.8,17,54.8,54.8,54.8,-20.8,17,54.8,54.8,54.8,-20.8,17,54.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-19.8,18,55.8,55.8,55.8,-19.8,18,55.8,55.8,55.8,-19.8,18,55.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-18.8,19,56.8,56.8,56.8,-18.8,19,56.8,56.8,56.8,-18.8,19,56.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-17.8,20,57.8,57.8,57.8,-17.8,20,57.8,57.8,57.8,-17.8,20,57.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-16.8,21,58.8,58.8,58.8,-16.8,21,58.8,58.8,58.8,-16.8,21,58.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-15.8,22,59.8,59.8,59.8,-15.8,22,59.8,59.8,59.8,-15.8,22,59.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-14.8,23,60.8,60.8,60.8,-14.8,23,60.8,60.8,60.8,-14.8,23,60.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-13.8,24,61.8,61.8,61.8,-13.8,24,61.8,61.8,61.8,-13.8,24,61.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-12.8,25,62.8,62.8,62.8,-12.8,25,62.8,62.8,62.8,-12.8,25,62.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-11.8,26,63.8,63.8,63.8,-11.8,26,63.8,63.8,63.8,-11.8,26,63.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-10.8,27,64.8,64.8,64.8,-10.8,27,64.8,64.8,64.8,-10.8,27,64.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
