-37.8,0,37.8,37.8,37.8,-37.8,0,37.8,37.8,37.8,-37.8,0,37.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-38.8,-1,36.8,36.8,36.8,-38.8,-1,36.8,36.8,36.8,-38.8,-1,36.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-39.8,-2,35.8,35.8,35.8,-39.8,-2,35.8,35.8,35.8,-39.8,-2,35.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-40.8,-3,34.8,34.8,34.8,-40.8,-3,34.8,34.8,34.8,-40.8,-3,34.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-41.8,-4,33.8,33.8,33.8,-41.8,-4,33.8,33.8,33.8,-41.8,-4,33.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-42.8,-5,32.8,32.8,32.8,-42.8,-5,32.8,32.8,32.8,-42.8,-5,32.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-43.8,-6,31.8,31.8,31.8,-43.8,-6,31.8,31.8,31.8,-43.8,-6,31.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-44.8,-7,30.8,30.8,30.8,-44.8,-7,30.8,30.8,30.8,-44.8,-7,30.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-45.8,-8,29.8,29.8,29.8,-45.8,-8,29.8,29.8,29.8,-45.8,-8,29.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-46.8,-9,28.8,28.8,28.8,-46.8,-9,28.8,28.8,28.8,-46.8,-9,28.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-47.8,-10,27.8,27.8,27.8,-47.8,-10,27.8,27.8,27.8,-47.8,-10,27.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-48.8,-11,26.8,26.8,26.8,-48.8,-11,26.8,26.8,26.8,-48.8,-11,26.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-49.8,-12,25.8,25.8,25.8,-49.8,-12,25.8,25.8,25.8,-49.8,-12,25.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-50.8,-13,24.8,24.8,24.8,-50.8,-13,24.8,24.8,24.8,-50.8,-13,24.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-51.8,-14,23.8,23.8,23.8,-51.8,-14,23.8,23.8,23.8,-51.8,-14,23.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-52.8,-15,22.8,22.8,22.8,-52.8,-15,22.8,22.8,22.8,-52.8,-15,22.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-53.8,-16,21.8,21.8,21.8,-53.8,-16,21.8,21.8,21.8,-53.8,-16,21.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-54.8,-17,20.8,20.8,20.8,-54.8,-17,20.8,20.8,20.8,-54.8,-17,20.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-55.8,-18,19.8,19.8,19.8,-55.8,-18,19.8,19.8,19.8,-55.8,-18,19.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-56.8,-19,18.8,18.8,18.8,-56.8,-19,18.8,18.8,18.8,-56.8,-19,18.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-57.8,-20,17.8,17.8,17.8,-57.8,-20,17.8,17.8,17.8,-57.8,-20,17.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-58.8,-21,16.8,16.8,16.8,-58.8,-21,16.8,16.8,16.8,-58.8,-21,16.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-59.8,-22,15.8,15.8,15.8,-59.8,-22,15.8,15.8,15.8,-59.8,-22,15.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-60.8,-23,14.8,14.8,14.8,-60.8,-23,14.8,14.8,14.8,-60.8,-23,14.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-61.8,-24,13.8,13.8,13.8,-61.8,-24,13.8,13.8,13.8,-61.8,-24,13.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-62.8,-25,12.8,12.8,12.8,-62.8,-25,12.8,12.8,12.8,-62.8,-25,12.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-63.8,-26,11.8,11.8,11.8,-63.8,-26,11.8,11.8,11.8,-63.8,-26,11.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
-64.8,-27,10.8,10.8,10.8,-64.8,-27,10.8,10.8,10.8,-64.8,-27,10.8
-113.5,-113.5,-113.5,-75.7,-37.8,0,0,0,37.8,75.7,113.5,113.5,113.5
