subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_016,beh,0,NA,2.00000821037,safe,3.42098064721e-06,16.0000677355,16.000064314517658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0003698085,NA,NA,CPU_001
CPU_016,beh,0,P,18.0067708151,threat,2.39469227381e-06,40.0001778913,NA,40.000175496563315,2.0,"['static.wav', 'buzzsaw.wav']","[5.016114553756779, 24.00993727965397]","[8.021441028715344, 27.015170703758486]","[8.454551176924724, 27.29975464689778, [...]]","[[], []]","[8.454551176924724, 27.29975464689778, [...]]",NA,3,70.4137956043,2,5,CPU_001
CPU_016,beh,0,NA,70.4203269504,safe,2.39469227381e-06,14.0000571305,14.000054735777667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.0816247219,NA,NA,CPU_001
CPU_016,beh,0,U,91.088221751,threat,2.39466316998e-06,30.000170023,NA,30.000167628313648,1.0,['buzzer.wav'],NA,[19.000156681140652],[19.279033735685516],[[]],[19.279033735685516],NA,3,129.544454342,4,4,CPU_001
