subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_017,beh,4,NA,2.00000855248,safe,3.42100975104e-06,18.0000605515,18.000057130440837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.000329441,NA,NA,CPU_003
CPU_017,beh,4,P,20.0067749204,threat,3.42098064721e-06,77.0001881542,NA,77.00018473324599,2.0,"['godzilla.wav', 'static.wav']","[17.003731269243872, 49.010002620489104]","[20.02024710466503, 52.02647056209389]","[21.08656325712218, 53.25938598779612]","[[0.47173169857705943, 0.6877190600789618, 0.8556148869683966], [0.5042775701149367, 0.6882965032127686, 0.848267958528595, 1.0002103600709233, 1.1522358915535733]]","[[21.08656325712218, 53.25938598779612], [21.08656325712218, 53.25938598779612]]",NA,6,99.6078202368,7,2,CPU_003
CPU_017,beh,4,NA,99.6150833318,safe,3.07889422402e-06,16.0000441307,16.000041051825974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.615246171,NA,NA,CPU_003
CPU_017,beh,4,P,115.621664624,threat,2.736778697e-06,88.0001693388,NA,88.00016660202527,0.0,[],NA,[],[],[],[],[],6,213.304000775,5,5,CPU_003
CPU_017,beh,4,NA,213.310937507,safe,2.736778697e-06,11.0000547358,11.00005199899897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.311106162,NA,NA,CPU_003
CPU_017,beh,4,P,224.317557457,threat,2.39466316998e-06,105.000162155,NA,105.00015976006398,3.0,"['demon.wav', 'airhorn.wav', 'buzzer.wav']","[7.0133753703848924, 26.007243937492603, 93.00228077123757]","[10.029429372720188, 29.023269545607036, 96.01804912122316]","[11.145806521351915, 30.28955155663425, 97.43428252005833]","[[0.44836804608348757, 0.6724210659158416, 0.8163823075010441, 0.9684389699832536, 1.1202366638171952], [0.32575822234502994, 0.5338366067153402, 0.6856182219053153, 0.8296632776618935, 0.9817089930002112, 1.1337526557035744], [0.3205251557228621, 0.5203110704314895, 0.6562056274269708, 0.8003338131529745, 0.952157506486401, 1.072373343311483]]","[[11.145806521351915, 30.28955155663425, 97.43428252005833], [11.145806521351915, 30.28955155663425, 97.43428252005833], [11.145806521351915, 30.28955155663425, 97.43428252005833]]",NA,6,331.615344011,8,2,CPU_003
