subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_017,beh,1,U,2.00000786825,threat,4.10518259741e-06,91.0001607864,NA,91.00015668116976,2.0,"['static.wav', 'buzzsaw.wav']",NA,"[5.000148812890984, 82.00014504982391]","[5.481900248181773, 82.49010411428753, [...]]","[[], [0.4170831714582164]]","[5.481900248181773, 82.49010411428753, [...]]",NA,5,98.2194021896,5,4,CPU_003
CPU_017,beh,1,NA,98.226552392,safe,3.07886512019e-06,13.000062604,13.000059525162214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.22675902,NA,NA,CPU_003
CPU_017,beh,1,U,111.232998898,threat,2.39469227381e-06,100.000209364,NA,100.0002069696493,3.0,"['buzzer.wav', 'airhorn.wav', 'godzilla.wav']",NA,"[11.000108103151433, 25.000098866497865, 48.00017139138072]","[11.628197680984158, 25.606989621417597, 48.61610381185892]","[[0.415043237619102], [0.4739009568002075], [0.4698652198421769]]","[[11.628197680984158, 25.606989621417597, 48.61610381185892], [11.628197680984158, 25.606989621417597, 48.61610381185892], [11.628197680984158, 25.606989621417597, 48.61610381185892]]",NA,5,216.863943288,5,5,CPU_003
CPU_017,beh,1,NA,216.870989151,safe,3.07886512019e-06,17.0000677355,17.000064656633185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.871169779,NA,NA,CPU_003
CPU_017,beh,1,U,233.877575233,threat,3.76309617423e-06,79.0001087874,NA,79.00010502425721,1.0,['demon.wav'],NA,[63.00014299721806],[63.80977984587662],[[0.5080776314425748]],[[63.80977984587662]],NA,5,317.514349667,7,4,CPU_003
CPU_017,beh,1,NA,317.521168376,safe,3.07889422402e-06,15.0000923666,15.00008928772877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.521377398,NA,NA,CPU_003
