Prime,Target,Type,Condition,ITI,TotalTrialTime
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_224.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_289.jpg,neut_neg,5,4.440329,6.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_079.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_108.jpg,pos_pos,2,3.162551222,5.362551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_188.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_138.jpg,neg_neg,3,2.973662333,5.173662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_176.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_200.jpg,neg_pos,6,2.495884556,4.695884556
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_203.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_234.jpg,neg_neg,3,4.106995667,6.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_071.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_361.jpg,pos_neut,4,4.884773444,7.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_373.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_106.jpg,neut_neut,1,3.440329,5.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_032.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_227.jpg,neg_neg,3,4.218106778,6.418106778
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_163.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_104.jpg,pos_pos,2,4.662551222,6.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_069.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_223.jpg,pos_neg,6,4.440329,6.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_098.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_064.jpg,pos_pos,2,3.625514185,5.825514185
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_019.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_159.jpg,neut_neg,5,3.062551222,5.262551222
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_042.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_235.jpg,pos_neg,6,2.929217889,5.129217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_112.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_409.jpg,neut_neut,1,3.384773444,5.584773444
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_030.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_179.jpg,pos_neg,6,2.440329,4.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_096.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_023.jpg,pos_neg,6,2.853027413,5.053027413
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_161.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_234.jpg,pos_pos,2,5.773662333,7.973662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_414.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_099.jpg,neut_pos,4,2.789535349,4.989535349
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_020.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_034.jpg,neg_pos,6,2.757789317,4.957789317
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_085.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_352.jpg,neg_neut,5,2.884773444,5.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_138.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_183.jpg,neut_pos,4,5.329217889,7.529217889
