subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_013,beh,1,U,2.00001471044,threat,3.42100975104e-06,91.0001802883,NA,91.00017686732463,2.0,"['static.wav', 'buzzsaw.wav']",NA,"[5.000142999109812, 82.00009749937453]","[5.9787772891286295, 82.5547428324935]","[[0.22813422180479392, 0.7399930563697126], [0.29833926059654914]]","[[5.9787772891286295, 82.5547428324935], [5.9787772891286295, 82.5547428324935]]",NA,4,102.632881928,9,2,CPU_009
CPU_013,beh,1,NA,102.639797885,safe,2.73683690466e-06,13.0000557628,13.000053025985835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.639978516,NA,NA,CPU_009
CPU_013,beh,1,U,115.646127478,threat,2.39472137764e-06,100.000185762,NA,100.00018336728681,3.0,"['buzzer.wav', 'airhorn.wav', 'godzilla.wav']",NA,"[11.000134446541779, 25.000175841036253, 48.0001063940872]","[11.612200766656315, 25.84110437738127, 48.81720778832096]","[[0.2275204888137523, 0.5874653417849913], [0.2432452599168755, 0.4913292257115245, 0.7312410315207671], [0.2507120027730707, 0.49859070670208894, 0.690609440265689]]","[[11.612200766656315, 25.84110437738127, 48.81720778832096], [11.612200766656315, 25.84110437738127, 48.81720778832096], [11.612200766656315, 25.84110437738127, 48.81720778832096]]",NA,4,222.628534139,9,2,CPU_009
CPU_013,beh,1,NA,222.635525359,safe,2.73683690466e-06,17.0000639733,17.00006123643834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.635708384,NA,NA,CPU_009
CPU_013,beh,1,U,239.641965793,threat,2.39472137764e-06,79.0001751568,NA,79.00017276208382,1.0,['demon.wav'],NA,[63.00010673617362],[64.02770659181988],"[[0.21160311295534484, 0.459582395182224, 0.7445864747569431, 0.9716485442477278]]",[[64.02770659181988]],NA,4,327.712257385,8,3,CPU_009
CPU_013,beh,1,NA,327.718871265,safe,2.73683690466e-06,15.0000855258,15.000082788959844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.719059764,NA,NA,CPU_009
