subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_013,beh,4,NA,2.00000718416,safe,3.07892332785e-06,18.000066368,18.000063289073296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.00033184,NA,NA,CPU_009
CPU_013,beh,4,P,20.0061924091,threat,3.42100975104e-06,77.0001477886,NA,77.00014436754282,2.0,"['godzilla.wav', 'static.wav']","[17.01223292434588, 49.001850093802204]","[20.0250929237518, 52.01402212379617]","[21.14037005294813, 53.31360663953819]","[[0.23284818470710889, 0.4453414495510515, 0.560748235846404, 0.7126769278547727, 0.8646281987021212, 0.9925833284505643], [0.234291753557045, 0.4902755652437918, 0.5701990709931124, 0.6502850757096894, 0.746354823699221, 1.0454436319705565]]","[[21.14037005294813, 53.31360663953819], [21.14037005294813, 53.31360663953819]]",NA,5,104.910110003,6,2,CPU_009
CPU_013,beh,4,NA,104.932763047,safe,3.07895243168e-06,16.0000403682,16.000037289224565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.93293752,NA,NA,CPU_009
CPU_013,beh,4,P,120.939350928,threat,2.39472137764e-06,88.0001949988,NA,88.0001926040859,0.0,[],NA,[],[],[],[],[],5,218.291222146,5,4,CPU_009
CPU_013,beh,4,NA,218.298053262,safe,2.73683690466e-06,11.0000673943,11.0000646575063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.29824655,NA,NA,CPU_009
CPU_013,beh,4,P,229.30452038,threat,2.73683690466e-06,105.00021792,NA,105.00021518286667,3.0,"['demon.wav', 'airhorn.wav', 'buzzer.wav']","[7.012765578954713, 26.006634748453507, 93.00162259524222]","[10.030040761601413, 29.024053956527496, 96.00308987565222]","[11.82950229124981, 30.440333276899764, 97.46931420292822]","[[0.2255018674186431, 0.39346938132075593, 0.5771907451271545, 0.7053627682907972, 0.7773234811611474, 0.8893386568524875, 0.9932576194696594, 1.1374770170659758, 1.2651492274890188, 1.4092598362767603, 1.5534457077737898, 1.6974143437691964], [0.23096621825243346, 0.4009411933948286, 0.5508986870700028, 0.7430508408870082, 0.84696159302257, 1.0628923102922272, 1.1588214538642205, 1.2789201848499943, 1.39904081041459], [0.22649248331435956, 0.3543333506095223, 0.4264309047430288, 0.5466350034694187, 0.6345148021064233, 0.7386212372512091, 0.8503887302649673, 0.9384686592384242, 1.0514670393895358, 1.1681327652768232, 1.2663854734273627, 1.3704641982039902]]","[[11.82950229124981, 30.440333276899764, 97.46931420292822], [11.82950229124981, 30.440333276899764, 97.46931420292822], [11.82950229124981, 30.440333276899764, 97.46931420292822]]",NA,5,347.017548181,6,3,CPU_009
