subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_009,beh,1,U,2.00000752625,threat,4.10526990891e-06,91.0000827882,NA,91.00007868290413,2.0,"['static.wav', 'buzzsaw.wav']",NA,"[5.000105366692878, 82.00004036782775]","[5.9781969639007, 82.55332153092604]","[[0.29135633958503604, 0.9632437888067216], [0.31280256574973464, 0.5446448578732088]]","[0.9781993585638702, 0.5533232414163649]","[2, 2]",2,102.314789823,5,4
CPU_009,beh,1,NA,102.322005388,safe,2.73680780083e-06,13.0000324994,13.000029762624763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.322164122,NA,NA
CPU_009,beh,1,U,115.32835681,threat,2.39466316998e-06,100.000073893,NA,100.0000714987982,3.0,"['buzzer.wav', 'airhorn.wav', 'godzilla.wav']",NA,"[11.00010126142297, 25.000100919394754, 48.00005268328823]","[11.611517126322724, 25.840249048545957, 48.81613512930926]","[[0.2872586700832471, 0.46314304042607546, 0.607134829973802], [0.302808809094131, 0.4786764164455235, 0.8227472311118618], [0.2700380585156381, 0.42990703438408673, 0.8139015608467162]]","[0.6115191789576784, 0.8402511010644957, 0.8161371819442138]","[3, 3, 3]",2,223.925362754,5,3
CPU_009,beh,1,NA,223.932325508,safe,2.73680780083e-06,17.0000410519,17.00003831507638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.93247569,NA,NA
CPU_009,beh,1,U,240.93878606,threat,2.05263495445e-06,79.0000933933,NA,79.00009134062566,1.0,['demon.wav'],NA,[63.00005542021245],[64.02676142833661],"[[0.31889912334736437, 0.5908327560173348, 0.7268088090931997, 1.0227499679895118]]",[1.0267638229997829],[4],2,328.091550994,6,4
CPU_009,beh,1,NA,328.098334146,safe,3.07883601636e-06,15.0000557622,15.000052683404647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.098508275,NA,NA
