subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_009,beh,0,NA,2.00000821042,safe,3.07883601636e-06,16.0000218943,16.000018815509975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0002890743,NA,NA
CPU_009,beh,0,P,18.0065590764,threat,2.3947795853e-06,40.0000663673,NA,40.00006397254765,2.0,"['static.wav', 'buzzsaw.wav']","[5.000084840808995, 24.00006055168342]","[8.001381056266837, 27.01189412025269]","[8.234580115531571, 27.39504126587417]","[[0.22842574305832386], [0.3797134916530922]]","[0.23458216816652566, 0.39504297636449337]","[1, 1]",2,71.4267439812,4,6
CPU_009,beh,0,NA,71.4332486637,safe,2.73680780083e-06,14.0000427624,14.000040025566705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.6414508446,NA,NA
CPU_009,beh,0,U,93.6476414796,threat,2.3947795853e-06,30.0000892881,NA,30.000086893327534,1.0,['buzzer.wav'],NA,[19.000072867260315],[19.265417318907566],[[0.24838759889826179]],[0.2654193714261055],[1],2,134.189704511,5,3
