subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_010,beh,2,NA,2.00000718411,safe,3.07895243168e-06,19.0000263416,19.000023262691684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000298653,NA,NA
CPU_010,beh,2,U,21.0066203122,threat,3.07895243168e-06,77.0001022877,NA,77.00009920878801,2.0,"['godzilla.wav', 'buzzer.wav']",NA,"[15.000097840558738, 49.000026341644116]","[16.030957964481786, 49.869997348752804]","[[0.30878700024913996, 0.5247514218790457, 0.7487199486931786, 0.9007469745120034, 1.0206963438540697], [0.32365293987095356, 0.48361120373010635, 0.5475958093302324, 0.6595677571604028, 0.8516026512952521]]","[1.0309600171167403, 0.8699990592431277]","[5, 5]",2,105.88224691,8,1
CPU_010,beh,2,NA,105.889286637,safe,2.73680780083e-06,12.0000150524,12.000012315576896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.889432713,NA,NA
CPU_010,beh,2,U,117.895551507,threat,2.39466316998e-06,112.000062946,NA,112.00006055168342,0.0,[],NA,[],[],[],[],[],2,237.722889032,7,1
CPU_010,beh,2,NA,237.729452555,safe,2.73680780083e-06,14.0000280521,14.000025315326639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.729595553,NA,NA
CPU_010,beh,2,U,251.735811503,threat,2.3947795853e-06,81.0000886038,NA,81.00008620903827,2.0,"['demon.wav', 'buzzsaw.wav']",NA,"[51.000028052250855, 63.00003934151027]","[51.91548154805787, 63.928257601102814]","[[0.33881205902434886, 0.5707207184750587, 0.6906505880178884, 0.802717981627211, 0.9066180886002257], [0.33831054100301117, 0.6342701732646674, 0.6982893308158964, 0.8262243318604305, 0.922217147774063]]","[0.9154839427210391, 0.9282596536213532]","[5, 5]",2,337.540555057,8,1
