subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_010,beh,1,P,2.0000099208,threat,3.42098064721e-06,91.0001050245,NA,91.0001016035676,2.0,"['static.wav', 'buzzsaw.wav']","[2.0000913406256586, 79.00009236694314]","[5.00876048754435, 82.01720042759553]","[5.675164763699286, 82.50024374597706]","[[0.36383185803424567, 0.6597747274208814], [0.32120932219550014, 0.48913132352754474]]","[0.675167158478871, 0.5002457986120135]","[2, 2]",2,108.726242634,6,3
CPU_010,beh,1,NA,108.733365833,safe,2.73680780083e-06,13.000023947,13.000021210173145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.733531409,NA,NA
CPU_010,beh,1,P,121.739726149,threat,2.39466316998e-06,100.000117682,NA,100.0001152876066,3.0,"['buzzer.wav', 'airhorn.wav', 'godzilla.wav']","[8.000047893961892, 22.00007628824096, 45.00004892027937]","[11.01192935637664, 25.007374299806543, 48.01658191147726]","[13.177820996381342, 25.55711781058926, 48.53302544367034]","[[1.8361147744581103, 2.020016591879539, 2.164062775322236], [0.28369296563323587, 0.4595958093414083, 0.5476142826955765], [0.21894992515444756, 0.39484558475669473, 0.5308551635826007]]","[2.1778233910445124, 0.557119521079585, 0.5330271541606635]","[3, 3, 3]",2,231.836338165,7,3
CPU_010,beh,1,NA,231.843170579,safe,2.73680780083e-06,17.0000338679,17.00003113108687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.843328629,NA,NA
CPU_010,beh,1,P,248.849906179,threat,2.3947795853e-06,79.0000489203,NA,79.00004652549978,1.0,['demon.wav'],[60.00008107768372],[63.01033072487917],[64.00994483649265],"[[0.2880383151350543, 0.48792610655073076, 0.7519178960938007, 0.9919291854603216]]",[1.0099468890111893],[4],2,334.503088989,7,2
CPU_010,beh,1,NA,334.509921061,safe,2.39466316998e-06,15.0000147104,15.000012315693311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.510060637,NA,NA
