,Cumulative Trial Start,Trial Start,Fixation Time,Prime Picture Time,Target Picture Time,ITI Time,Trial End,Cumulative Trial End,Prime Picture,Target Picture,Condition
0,6.60001528146,1.14040449262e-06,0.200001767633,1.00000171061,1.00000171061,3.49956137087,5.70001873119,12.3000300212,neu_438.jpg,mut_031.jpg,5
1,12.3024550972,4.5616288844e-06,0.200001482528,1.00000142551,1.00000085531,3.49973100645,5.70001046324,18.0024607137,ero_040.jpg,mut_047.jpg,6
2,18.0046311937,4.5616288844e-06,0.200001767633,1.00000171061,1.00000171061,3.49973043624,5.70000846752,23.7046348145,mut_013.jpg,mut_024.jpg,3
3,23.7068782806,1.39699877764e-05,0.200001197427,1.00000114041,1.00000171061,3.49971047912,5.70002329281,29.4068876035,mut_042.jpg,neu_439.jpg,5
4,29.4089876634,4.5616288844e-06,0.200001767629,1.00000199571,1.00000142551,3.49976122724,5.70002186731,35.109004969,mut_053.jpg,ero_058.jpg,6
5,35.1111495048,4.5616288844e-06,0.200001482528,1.00000171061,1.00000171061,3.49974839765,5.70001416956,40.8111591128,ero_038.jpg,neu_437.jpg,4
6,40.8132423516,3.99142300012e-06,0.200001767633,1.00000199572,1.00000684244,3.49973528297,5.70000305059,46.5132416959,neu_436.jpg,ero_035.jpg,4
7,46.5153984911,4.27652776125e-06,0.200001482528,1.00000142551,1.00000171061,3.4997555252,5.70002614384,52.2154200733,ero_001.jpg,ero_011.jpg,2
8,52.2176267613,4.84673000756e-06,0.200000912326,1.00000114041,1.00000114041,3.49974497644,5.70001416956,57.9176360841,neu_005.jpg,neu_018.jpg,1
9,57.9199120518,3.99142663809e-06,0.200001767633,1.00000142551,1.00000171061,3.49975438479,5.70000647181,63.6199148173,neu_008.jpg,neu_435.jpg,1
10,63.6221369008,5.13183476869e-06,0.200001767633,1.00000171061,1.00000171061,3.49972473421,5.7000047612,69.3221359599,ero_010.jpg,ero_021.jpg,2
11,69.3244900455,4.27652776125e-06,0.200001482528,1.00000199571,1.00000171061,3.49976208254,5.70001873119,75.0245047853,mut_003.jpg,mut_015.jpg,3
