subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_008,beh,0,NA,2.0000078684,safe,3.07895243168e-06,16.0000348942,16.000031815259717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0003048108,NA,NA
CPU_008,beh,0,P,18.0060780843,threat,2.73669138551e-06,40.0001087877,NA,40.00010605098214,2.0,"['static.wav', 'buzzsaw.wav']","[5.000094419461675, 24.00007799861487]","[8.01063827238977, 27.004500320646912]","[8.260524267680012, 27.237700064084493]","[[0.2528691040351987], [0.22818148380611092]]","[0.2605263201985508, 0.23770177457481623]","[1, 1]",4,72.8516686766,5,6
CPU_008,beh,0,NA,72.8576496046,safe,2.3947795853e-06,14.0000277101,14.000025315326639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4814200556,NA,NA
CPU_008,beh,0,U,91.4871775926,threat,2.39466316998e-06,30.0001019457,NA,30.00009955104906,1.0,['buzzer.wav'],NA,[19.00009407743346],[19.30197853327263],[[0.29691785329487175]],[0.3019805857911706],[1],4,137.447386957,7,4
