subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_001,beh,2,NA,2.00000855245,safe,3.07889422402e-06,19.0000212102,19.00001813127892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0002935214,NA,NA
CPU_001,beh,2,P,21.0063832371,threat,3.42103885487e-06,77.0001094719,NA,77.00010605086572,2.0,"['godzilla.wav', 'buzzer.wav']","[12.000068077875767, 46.00003078900045]","[15.005472225835547, 49.01115313236369]","[15.788474663277157, 49.677503014798276]","[[0.19620269408915192, 0.44410553778288886, 0.556106906151399, 0.6681380372610874, 0.7800750908791088], [0.21107581787509844, 0.3549807141534984, 0.43502245034324005, 0.5469776352401823, 0.6590026085614227]]","[0.7884770579985343, 0.6775047252885997]","[5, 5]",2,116.036231088,5,4
CPU_001,beh,2,NA,116.043093265,safe,3.07889422402e-06,12.0000437888,12.000040709855966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.043271157,NA,NA
CPU_001,beh,2,P,128.049400214,threat,2.39472137764e-06,112.000075946,NA,112.00007355143316,0.0,[],NA,[],[],[],[],[],2,255.990921018,3,6
CPU_001,beh,2,NA,255.997682617,safe,3.07895243168e-06,14.0000403678,14.000037288817111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.997867693,NA,NA
CPU_001,beh,2,P,270.004159932,threat,2.73680780083e-06,81.0001036562,NA,81.00010091939475,2.0,"['demon.wav', 'buzzsaw.wav']","[48.00004242034629, 60.00008347228868]","[51.015512850135565, 63.01162317726994]","[51.731897883233614, 63.6613381227362]","[[0.2290004703681916, 0.3809344451292418, 0.4929221295751631, 0.6049293136456981, 0.7169607868418097], [0.19658002990763634, 0.36448389990255237, 0.4285441094543785, 0.5405054521979764, 0.64454787253635]]","[0.7319002779549919, 0.6613401753129438]","[5, 5]",2,373.152942142,5,5
