subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_012,beh,1,P,2.00000786838,threat,4.10522625316e-06,91.0001768673,NA,91.00017276209837,2.0,"['static.wav', 'buzzsaw.wav']","[2.012564422286232, 79.00429613131564]","[5.016346372591215, 82.00885020842543]","[5.649453746795189, 82.42537550095585]","[[0.3353405804518843], [0.24577686507836916]]","[[5.649453746795189, 82.42537550095585], [5.649453746795189, 82.42537550095585]]",NA,9,100.604068291,2,9,CPU_008
CPU_012,beh,1,NA,100.610869985,safe,4.7894573072e-06,13.0000379735,13.000033183998312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.611024958,NA,NA,CPU_008
CPU_012,beh,1,P,113.617175973,threat,2.39472137764e-06,100.000234341,NA,100.00023194593086,3.0,"['buzzer.wav', 'airhorn.wav', 'godzilla.wav']","[8.011978399605141, 22.007492743141484, 45.01669463359576]","[11.029218687719549, 25.024824714899296, 48.034280445892364]","[11.695651013738825, 25.7412465212401, 48.71739030034223]","[[0.2522303782752715], [0.2163991327106487], [0.23875977279385552]]","[[11.695651013738825, 25.7412465212401, 48.71739030034223], [11.695651013738825, 25.7412465212401, 48.71739030034223], [11.695651013738825, 25.7412465212401, 48.71739030034223]]",NA,9,219.416762712,2,8,CPU_008
CPU_012,beh,1,NA,219.423605459,safe,2.73682235274e-06,17.0000643154,17.00006157856842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.423803195,NA,NA,CPU_008
CPU_012,beh,1,P,236.43006334,threat,2.39472137764e-06,79.0001679726,NA,79.00016557791969,1.0,['demon.wav'],[60.010352383353165],[63.028142773328],[63.8111672730447],[[0.3569365037983516]],[[63.8111672730447]],NA,9,324.500465089,2,8,CPU_008
CPU_012,beh,1,NA,324.507174074,safe,2.73682235274e-06,15.0000632891,15.000060552250943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.507359152,NA,NA,CPU_008
