Prime,Target,Type,Condition,ITI,TotalTrialTime
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_118.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_117.jpg,neut_pos,4,3.551440111,5.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_207.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_046.jpg,pos_neg,6,2.551440111,4.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_089.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_030.jpg,neut_pos,4,4.662551222,6.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_300.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_229.jpg,neut_pos,4,3.699588259,5.899588259
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_066.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_033.jpg,pos_pos,2,3.884773444,6.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_045.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_384.jpg,pos_neut,4,2.694297254,4.894297254
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_055.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_206.jpg,pos_neg,6,4.884773444,7.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_194.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_137.jpg,neg_neg,3,3.773662333,5.973662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_153.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_033.jpg,neut_neut,1,3.329217889,5.529217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_172.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_234.jpg,neg_pos,6,3.106995667,5.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_083.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_140.jpg,neut_neg,5,2.662551222,4.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_248.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_142.jpg,pos_pos,2,3.329217889,5.529217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_187.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_257.jpg,neut_neg,5,2.821281381,5.021281381
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_092.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_108.jpg,neg_neg,3,3.995884556,6.195884556
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_418.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_067.jpg,neut_neut,1,2.468106778,4.668106778
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_261.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_195.jpg,pos_neut,4,3.773662333,5.973662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_279.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_423.jpg,neut_neut,1,2.523662333,4.723662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_425.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_068.jpg,neut_pos,4,3.495884556,5.695884556
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_095.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_114.jpg,pos_pos,2,2.634773444,4.834773444
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_153.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_077.jpg,pos_pos,2,5.106995667,7.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_341.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_067.jpg,neut_neg,5,2.726043286,4.926043286
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_130.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_349.jpg,neut_neut,1,2.606995667,4.806995667
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_254.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_116.jpg,neut_neut,1,3.106995667,5.306995667
