subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_003,beh,0,NA,2.00000786828,safe,3.07889422402e-06,16.0000400257,16.000036946788896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.000308916,NA,NA
CPU_003,beh,0,P,18.0064667094,threat,2.39466316998e-06,40.0001423134,NA,40.0001399187604,2.0,"['static.wav', 'buzzsaw.wav']","[5.0000807354808785, 24.000089630077127]","[8.011040923651308, 27.00485405168729]","[8.594095702341292, 27.304722172324546]","[[0.5803279024548829], [0.2917514645960182]]","[0.5940977549180388, 0.3047238828148693]","[1, 1]",1,70.2033077614,8,9
CPU_003,beh,0,NA,70.2098114176,safe,2.73680780083e-06,14.0000420783,14.000039341452066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.073483344,NA,NA
CPU_003,beh,0,U,89.0794759034,threat,2.39472137764e-06,30.0000578149,NA,30.00005542015424,1.0,['buzzer.wav'],NA,[19.000045841385145],[19.294580628629774],[[0.2806277528288774]],[0.29458268120652065],[1],1,129.834018046,7,7
