,Cumulative Trial Start,Trial Start,Fixation Time,Prime Picture Time,Target Picture Time,ITI Time,Trial End,Cumulative Trial End,Prime Picture,Target Picture,Condition
0,6.600016821,1.14040449262e-06,0.200001140416,0.400001425529,0.400001140428,3.6250353526,4.62552059576,11.2255362764,mut_289.jpg,mut_096.jpg,3
1,11.2281805948,4.27651684731e-06,0.200001425517,0.40000114037,0.400001425529,3.88451498497,4.88479096344,16.1129667115,neu_067.jpg,ero_081.jpg,4
2,16.115058788,3.42127168551e-06,0.200001710618,0.40000114037,0.40000171063,3.10673666862,4.10699867713,20.2220540438,ero_268.jpg,ero_118.jpg,2
3,20.22420143,3.99141572416e-06,0.20000171056,0.400001425529,0.400001425471,2.66230014368,3.66256557341,23.8867627269,ero_143.jpg,ero_228.jpg,2
4,23.8902344106,6.55738404021e-06,0.200001425517,0.400001140428,0.400001425529,4.66227277392,5.66256699892,29.552794282,mut_123.jpg,ero_094.jpg,6
5,29.5551395288,4.56161797047e-06,0.200001140416,0.400001140428,0.400001425529,3.21784765302,4.21812163579,33.7732566029,ero_102.jpg,ero_041.jpg,2
6,33.7754114018,4.27651684731e-06,0.200001425459,0.400001995731,0.400001425529,2.78917440242,3.78954218363,37.5649487387,mut_213.jpg,mut_129.jpg,3
7,37.5672919897,4.84671909362e-06,0.200001425517,0.400001425471,0.400001140428,4.10673609847,5.10701920447,42.6743060624,ero_130.jpg,ero_146.jpg,2
8,42.6765418301,5.13182021677e-06,0.200001710618,0.400001425529,0.400001710572,2.85275807412,3.85303091642,46.5295670445,mut_080.jpg,neu_301.jpg,5
9,46.5318193481,4.27651684731e-06,0.200001140416,0.400000855327,0.400001140428,2.75753010676,3.75779582158,50.289610323,ero_210.jpg,neu_125.jpg,4
10,50.2918187209,3.99147393182e-06,0.20000199572,0.40000114037,0.400000855327,3.10674892802,4.10701692366,54.3988316531,neu_387.jpg,neu_254.jpg,1
11,54.4012307841,4.27651684731e-06,0.200001710618,0.400001140428,0.400001710572,4.44007760467,5.44035101723,59.8415772397,mut_041.jpg,neu_414.jpg,5
12,59.8439244822,4.27651684731e-06,0.200001140416,0.400001425529,0.400001995673,3.55119828257,4.55146371224,64.395383918,mut_201.jpg,mut_055.jpg,3
13,64.3977274541,5.13182021677e-06,0.200001425517,0.400001995673,0.400001140428,2.57896034804,3.57924031792,67.97696207,ero_042.jpg,ero_224.jpg,2
