subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_019,beh,4,NA,2.00000923662,safe,3.42098064721e-06,18.0000752617,18.000071840710007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.000350651,NA,NA,CPU_005
CPU_019,beh,4,P,20.0062545884,threat,3.42098064721e-06,77.0001717335,NA,77.0001683125156,2.0,"['godzilla.wav', 'static.wav']","[17.009095717105083, 49.01539956772467]","[20.025015958875883, 52.031225048180204]","[21.141331187682226, 53.06419240444666]","[[0.3396453664172441, 0.5074765366734937, 0.6354498009895906, 0.803538913547527, 0.9474690241622739], [0.3480760244419798, 0.5320689580985345, 0.6760435415199026, 0.8200581505079754, 0.9640276024583727]]","[[21.141331187682226, 53.06419240444666], [21.141331187682226, 53.06419240444666]]",NA,1,104.493779621,3,8,CPU_005
CPU_019,beh,4,NA,104.500689671,safe,3.07889422402e-06,16.000037973,16.000034894095734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.500868588,NA,NA,CPU_005
CPU_019,beh,4,P,120.507085888,threat,2.39472137764e-06,88.0001707072,NA,88.00016831245739,0.0,[],NA,[],[],[],[],[],1,213.308173693,1,8,CPU_005
CPU_019,beh,4,NA,213.314886009,safe,3.07889422402e-06,11.0000578146,11.000054735748563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.315069374,NA,NA,CPU_005
CPU_019,beh,4,P,224.321378698,threat,2.73674959317e-06,105.000158734,NA,105.00015599699691,3.0,"['demon.wav', 'airhorn.wav', 'buzzer.wav']","[7.013363396923523, 26.007153623446357, 93.00216958922101]","[10.029830312239937, 29.023637301579583, 96.01837616745615]","[11.029552186082583, 30.256587963434868, 97.484598721785]","[[0.36529043165501207, 0.5333412291947752, 0.6613353615393862, 0.8131645284011029, 0.9412079229368828], [0.4109301647404209, 0.5868642820278183, 0.7228696789825335, 0.8667676323093474, 1.0331223051180132, 1.1785566231701523], [0.5014197027194314, 0.6773438991513103, 0.8451353859854862, 0.9893159127677791, 1.1171913368743844, 1.2531091565615498, 1.4132691081613302]]","[[11.029552186082583, 30.256587963434868, 97.484598721785], [11.029552186082583, 30.256587963434868, 97.484598721785], [11.029552186082583, 30.256587963434868, 97.484598721785]]",NA,1,335.651526068,5,5,CPU_005
