subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating,Yoked_Participant
CPU_019,beh,3,NA,2.00000752619,safe,3.07889422402e-06,20.0000656829,20.000062604027335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0003273883,NA,NA,CPU_005
CPU_019,beh,3,U,22.0066042132,threat,3.42098064721e-06,87.0000957876,NA,87.00009236659389,1.0,['godzilla.wav'],NA,[80.00013410265092],[81.08016088209115],"[[0.36959133559139445, 0.5695171686238609, 0.7133586757117882, 0.8894381849095225]]",[[81.08016088209115]],NA,1,117.09912888,4,5,CPU_005
CPU_019,beh,3,NA,117.105986246,safe,3.07889422402e-06,10.0000673935,10.000064314575866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.106185348,NA,NA,CPU_005
CPU_019,beh,3,U,127.112448831,threat,2.73680780083e-06,63.0001187082,NA,63.000115971430205,1.0,['static.wav'],NA,[42.000127260689624],[42.952544426661916],"[[0.3334044896182604, 0.4862219793139957, 0.645265321189072, 0.8133277500746772]]",[[42.952544426661916]],NA,1,197.656116004,4,4,CPU_005
CPU_019,beh,3,NA,197.662759901,safe,3.07889422402e-06,15.0000420781,15.00003899919102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.662921371,NA,NA,CPU_005
CPU_019,beh,3,U,212.669194775,threat,2.39472137764e-06,120.000177891,NA,120.00017549656332,2.0,"['scream.wav', 'demon.wav']",NA,"[18.00011768192053, 104.00012726068962]","[19.10897789837327, 105.03090826491825]","[[0.45438081171596423, 0.6426537407096475, 0.8063927277107723, 0.9742622129851952], [0.4646772949490696, 0.6671958931256086, 0.8033391557983123, 0.9712763765710406]]","[[19.10897789837327, 105.03090826491825], [19.10897789837327, 105.03090826491825]]",NA,1,340.542765744,7,3,CPU_005
